code,order_type,orderid,market_price_of_send_order,market_time_of_send_order,send_order_price,send_order_time,receive_trade_price,receive_trade_time,lots,volScale,order_comment
SHFE.al.2202,short_order,1565565135,19950.000000,09:56:41.500,19960.000000,09:56:43.386,19960.000000,09:57:20.004,1.000000,5,code_shortOrder_marketMaking
SHFE.al.2202,cover_order,1565565184,19960.000000,09:57:18.000,19970.000000,09:57:20.003,19965.000000,09:57:22.663,1.000000,5,code_coverOrder_onlyClose
SHFE.al.2202,buy_order,1565565809,19985.000000,10:04:56.000,19970.000000,10:04:57.912,19970.000000,10:05:28.387,1.000000,5,code_buyOrder_marketMaking
SHFE.al.2202,sell_order,1565565844,19970.000000,10:05:26.500,19960.000000,10:05:28.386,19970.000000,10:05:40.066,1.000000,5,code_sellOrder_onlyClose
SHFE.al.2202,short_order,1565566328,19970.000000,10:31:55.500,19980.000000,10:31:57.414,19980.000000,10:32:17.116,1.000000,5,code_shortOrder_marketMaking
SHFE.al.2202,cover_order,1565566354,19980.000000,10:32:15.000,19990.000000,10:32:17.115,19985.000000,10:32:24.359,1.000000,5,code_coverOrder_onlyClose
SHFE.al.2202,short_order,1565566588,19950.000000,10:35:17.000,19965.000000,10:35:19.615,19965.000000,10:35:40.950,1.000000,5,code_shortOrder_marketMaking
SHFE.al.2202,cover_order,1565566610,19965.000000,10:35:39.000,19970.000000,10:35:40.949,19965.000000,10:35:52.606,1.000000,5,code_coverOrder_onlyClose
SHFE.al.2202,buy_order,1565566727,19970.000000,10:37:16.500,19955.000000,10:37:18.225,19955.000000,10:38:20.871,1.000000,5,code_buyOrder_marketMaking
SHFE.al.2202,sell_order,1565566786,19950.000000,10:38:19.000,19945.000000,10:38:20.870,19950.000000,10:38:39.828,1.000000,5,code_sellOrder_onlyClose
SHFE.al.2202,buy_order,1565566966,19915.000000,10:40:54.500,19900.000000,10:40:56.894,19890.000000,10:41:10.851,1.000000,5,code_buyOrder_marketMaking
SHFE.al.2202,sell_order,1565566983,19890.000000,10:41:08.500,19885.000000,10:41:10.850,19890.000000,10:41:16.442,1.000000,5,code_sellOrder_onlyClose
SHFE.al.2202,short_order,1565566991,19890.000000,10:41:14.500,19900.000000,10:41:17.119,19900.000000,10:41:45.739,1.000000,5,code_shortOrder_marketMaking
SHFE.al.2202,cover_order,1565567023,19890.000000,10:41:43.500,19895.000000,10:41:45.738,19890.000000,10:41:52.272,1.000000,5,code_coverOrder_onlyClose
SHFE.al.2202,buy_order,1565567031,19890.000000,10:41:50.500,19880.000000,10:41:52.843,19880.000000,10:42:04.781,1.000000,5,code_buyOrder_marketMaking
SHFE.al.2202,sell_order,1565567044,19875.000000,10:42:02.500,19870.000000,10:42:04.780,19870.000000,10:42:08.488,1.000000,5,code_sellOrder_onlyClose
SHFE.al.2202,buy_order,1565567051,19870.000000,10:42:06.000,19860.000000,10:42:09.768,19860.000000,10:42:35.396,1.000000,5,code_buyOrder_marketMaking
SHFE.al.2202,sell_order,1565567083,19860.000000,10:42:33.500,19860.000000,10:42:35.395,19860.000000,10:42:43.514,1.000000,5,code_sellOrder_onlyClose
SHFE.al.2202,buy_order,1565567164,19875.000000,10:43:46.000,19865.000000,10:43:48.218,19865.000000,10:44:14.344,1.000000,5,code_buyOrder_marketMaking
