code,order_type,orderid,market_price_of_send_order,market_time_of_send_order,send_order_price,send_order_time,receive_trade_price,receive_trade_time,lots,volScale,order_comment
SHFE.cu.2202,buy_order,1565567276,70150.000000,10:45:33.000,70120.000000,10:45:39.167,70120.000000,10:45:54.312,1.000000,5,code_buyOrder_marketMaking
SHFE.cu.2202,sell_order,1565567294,70110.000000,10:45:52.500,70100.000000,10:45:54.311,70100.000000,10:46:04.768,1.000000,5,code_sellOrder_onlyClose
SHFE.cu.2202,short_order,1565567452,70060.000000,10:48:25.500,70090.000000,10:48:27.616,70090.000000,10:49:54.803,1.000000,5,code_shortOrder_marketMaking
SHFE.cu.2202,cover_order,1565567534,70100.000000,10:49:53.000,70110.000000,10:49:54.801,70100.000000,10:50:13.111,1.000000,5,code_coverOrder_onlyClose
SHFE.cu.2202,buy_order,1565569090,69940.000000,11:21:28.500,69900.000000,11:21:31.589,69900.000000,11:22:13.040,1.000000,5,code_buyOrder_marketMaking
SHFE.cu.2202,sell_order,1565569118,69910.000000,11:22:11.000,69880.000000,11:22:13.038,69900.000000,11:22:28.493,1.000000,5,code_sellOrder_onlyClose
SHFE.cu.2202,short_order,1565569272,69840.000000,13:30:02.000,69870.000000,13:30:15.563,69890.000000,13:30:22.616,1.000000,5,code_shortOrder_marketMaking
SHFE.cu.2202,cover_order,1565569279,69900.000000,13:30:18.500,69920.000000,13:30:22.614,69900.000000,13:30:43.351,1.000000,5,code_coverOrder_onlyClose
SHFE.cu.2202,buy_order,1565569340,69880.000000,13:31:33.500,69840.000000,13:31:34.307,69840.000000,13:32:04.977,1.000000,5,code_buyOrder_marketMaking
SHFE.cu.2202,sell_order,1565569363,69830.000000,13:32:04.500,69820.000000,13:32:04.977,69860.000000,13:32:36.351,1.000000,5,code_sellOrder_onlyClose
SHFE.cu.2202,short_order,1565569699,69780.000000,13:40:50.500,69820.000000,13:40:50.971,69820.000000,13:41:34.703,1.000000,5,code_shortOrder_marketMaking
SHFE.cu.2202,cover_order,1565569727,69820.000000,13:41:34.000,69830.000000,13:41:34.702,69820.000000,13:41:48.494,1.000000,5,code_coverOrder_onlyClose
SHFE.cu.2202,short_order,1565570376,69960.000000,13:59:25.000,70000.000000,13:59:26.081,70000.000000,14:00:26.892,1.000000,5,code_shortOrder_marketMaking
SHFE.cu.2202,cover_order,1565570411,70010.000000,14:00:25.500,70020.000000,14:00:26.891,70020.000000,14:00:47.815,1.000000,5,code_coverOrder_onlyClose
